x,y,z
-0.2530814,0.4564238,4.712798
-0.2169412,0.4560252,4.72577
-0.1949202,0.4483997,4.72692
-0.1919953,0.4414421,4.726452
-0.2076741,0.4287565,4.723716
-0.2282254,0.4174941,4.712087
-0.2308174,0.4113173,4.700021
-0.21501,0.4204584,4.703158
-0.2118593,0.4207637,4.705538
-0.1951061,0.4260464,4.714977
-0.1825224,0.4286092,4.724577
-0.137132,0.4330969,4.746181
-0.1062098,0.4292944,4.758266
-0.09313035,0.4240676,4.762229
-0.1062317,0.415953,4.764751
-0.1252451,0.4106321,4.755865
-0.140262,0.4006285,4.745186
-0.1405197,0.4004822,4.740597
-0.130304,0.4058798,4.742224
-0.1069491,0.4189697,4.75368
-0.08185339,0.42981,4.766061
-0.05098486,0.4382299,4.781827
-0.02672958,0.4396783,4.795025
-0.01610565,0.435809,4.806944
-0.02155328,0.4272315,4.817798
-0.0291605,0.4172433,4.823914
-0.03062272,0.41376,4.832412
-0.01990914,0.4187549,4.845278
0.006905079,0.4282555,4.867264
0.0371213,0.4301886,4.889084
0.0672338,0.4247069,4.908541
0.08152246,0.4162385,4.925699
0.07758713,0.4063521,4.940969
0.06873035,0.3994687,4.951328
0.06476283,0.3959901,4.956598
0.07433653,0.4015006,4.967175
0.0961585,0.4061578,4.983683
0.1261051,0.4101956,5.005583
0.1538613,0.4104305,5.022059
0.1707616,0.4083791,5.037242
0.1691494,0.405695,5.050182
0.1590044,0.4055184,5.062315
0.1482484,0.4119341,5.076738
0.1490169,0.4217575,5.085437
0.1607864,0.4319127,5.098342
0.1757798,0.4369544,5.115232
0.1932554,0.4387508,5.133188
0.2101436,0.439992,5.15005
0.2256851,0.4372916,5.16611
0.2347803,0.4319993,5.18437
0.2384799,0.425953,5.202196
0.2386913,0.4194139,5.219904
0.2385774,0.4158793,5.233705
0.2437291,0.418752,5.242322
0.2526305,0.4234722,5.247416
0.2621884,0.4207135,5.25522
0.269326,0.409834,5.265365
0.2720523,0.3923786,5.278364
0.2700942,0.3743268,5.286665
0.2635634,0.3668001,5.291132
0.2560091,0.3673524,5.288588
0.2520945,0.3611599,5.291303
0.2587388,0.3561845,5.291929
0.2626722,0.3551255,5.290091
0.258454,0.3600498,5.283511
0.2459714,0.3675767,5.275907
0.2269099,0.3795888,5.263679
0.2005694,0.392558,5.246622
0.1731012,0.4008573,5.228079
0.1450696,0.4066725,5.207562
0.123878,0.4164398,5.180981
0.1097333,0.4288233,5.156821
0.1085606,0.4445302,5.133905
0.1116736,0.4573725,5.116853
0.1200149,0.4632052,5.102015
0.1181302,0.4633992,5.080741
0.09211826,0.4632855,5.061567
0.04831266,0.4717348,5.031391
0.01982021,0.4871793,4.990041
0.002562284,0.5052621,4.954958
0.006626606,0.5270737,4.933376
0.01732039,0.5445538,4.918775
0.02567053,0.5522419,4.907356
0.01479816,0.5599758,4.890221
-0.01761389,0.567128,4.869479
-0.05889034,0.5742739,4.840487
-0.1009119,0.5815367,4.789367
-0.1146479,0.5904642,4.762825
-0.1110969,0.616205,4.752324
-0.09550023,0.6372886,4.752014
-0.08634329,0.6526489,4.752565
-0.08151054,0.6643706,4.745558
-0.09061337,0.6734245,4.736653
-0.1107683,0.6802576,4.71894
-0.134318,0.683621,4.686904
-0.1539906,0.6828502,4.658364
-0.1670057,0.6784433,4.63289
-0.1704737,0.6805668,4.622745
-0.1649185,0.681737,4.631966
-0.1621903,0.6838841,4.631307
-0.1614281,0.6847903,4.638054
-0.1615807,0.6844319,4.646499
-0.1569411,0.6838757,4.655061
-0.1574923,0.684469,4.65519
-0.1588303,0.6853428,4.651279
-0.1605972,0.6865881,4.641183
-0.1635698,0.6879564,4.63544
-0.1675643,0.6882041,4.616455
-0.162058,0.6915236,4.608951
-0.1551672,0.6927213,4.623172
-0.1539277,0.6885256,4.641701
-0.1536034,0.6835027,4.653977
-0.154205,0.6775764,4.665072
-0.152172,0.6690595,4.684436
-0.1437038,0.660883,4.711233
-0.1312228,0.6493669,4.747625
-0.1183553,0.6332534,4.784147
-0.1070824,0.6169183,4.815605
-0.09600806,0.6033084,4.839555
-0.08394337,0.5916651,4.855658
-0.07565832,0.5795918,4.869922
-0.06894112,0.5665491,4.881103
-0.05539823,0.5566936,4.895878
-0.03337574,0.5468437,4.917266
-0.01103282,0.5318263,4.947283
0.000613451,0.5181006,4.968948
0.003425121,0.5021475,4.989788
0.01155806,0.4913706,5.007908
0.03206587,0.4844372,5.031907
0.05363464,0.4722354,5.056293
0.07009292,0.4572561,5.081898
0.07731819,0.4413908,5.106451
0.0846796,0.4383016,5.121242
0.09519815,0.4504418,5.125405
0.110086,0.4566997,5.129018
0.1258829,0.4533097,5.144394
